date,site_id,rainfall_mm
2026-07-09,GM01,7.6
2026-07-09,GM02,3.2
2026-07-09,GM03,0.4
2026-07-09,GM04,6.6
2026-07-09,GM05,0.8
2026-07-09,GM06,4.7
2026-07-10,GM01,7.3
2026-07-10,GM02,1.7
2026-07-10,GM03,0.7
2026-07-10,GM04,3.3
2026-07-10,GM05,1.9
2026-07-10,GM06,4.4
2026-07-11,GM01,0.5
2026-07-11,GM02,4.5
2026-07-11,GM03,7.6
2026-07-11,GM04,5.0
2026-07-11,GM05,4.7
2026-07-11,GM06,0.5
2026-07-12,GM01,4.7
2026-07-12,GM02,0.4
2026-07-12,GM03,1.8
2026-07-12,GM04,4.5
2026-07-12,GM05,1.1
2026-07-12,GM06,3.4
2026-07-13,GM01,4.3
2026-07-13,GM02,4.6
2026-07-13,GM03,4.5
2026-07-13,GM04,5.5
2026-07-13,GM05,0.8
2026-07-13,GM06,4.6
2026-07-14,GM01,1.5
2026-07-14,GM02,0.8
2026-07-14,GM03,5.7
2026-07-14,GM04,4.5
2026-07-14,GM05,5.0
2026-07-14,GM06,4.0
2026-07-15,GM01,4.3
2026-07-15,GM02,6.2
2026-07-15,GM03,3.7
2026-07-15,GM04,7.4
2026-07-15,GM05,2.9
2026-07-15,GM06,2.0
2026-07-16,GM01,1.4
2026-07-16,GM02,6.2
2026-07-16,GM03,0.7
2026-07-16,GM04,2.4
2026-07-16,GM05,4.0
2026-07-16,GM06,2.7
2026-07-17,GM01,3.6
2026-07-17,GM02,4.9
2026-07-17,GM03,0.6
2026-07-17,GM04,4.1
2026-07-17,GM05,1.3
2026-07-17,GM06,2.7
2026-07-18,GM01,7.5
2026-07-18,GM02,3.4
2026-07-18,GM03,7.7
2026-07-18,GM04,0.6
2026-07-18,GM05,4.5
2026-07-18,GM06,6.3
2026-07-19,GM01,6.5
2026-07-19,GM02,2.7
2026-07-19,GM03,2.8
2026-07-19,GM04,4.0
2026-07-19,GM05,6.4
2026-07-19,GM06,0.6
2026-07-20,GM01,0.7
2026-07-20,GM02,2.2
2026-07-20,GM03,5.6
2026-07-20,GM04,0.5
2026-07-20,GM05,5.8
2026-07-20,GM06,2.5
2026-07-21,GM01,4.6
2026-07-21,GM02,5.4
2026-07-21,GM03,3.6
2026-07-21,GM04,5.7
2026-07-21,GM05,7.1
2026-07-21,GM06,2.8
2026-07-22,GM01,7.5
2026-07-22,GM02,2.8
2026-07-22,GM03,4.9
2026-07-22,GM04,3.9
2026-07-22,GM05,1.7
2026-07-22,GM06,2.3
2026-07-23,GM01,39.8
2026-07-23,GM02,44.7
2026-07-23,GM03,35.4
2026-07-23,GM04,27.0
2026-07-23,GM05,42.7
2026-07-23,GM06,60.2
2026-07-24,GM01,38.8
2026-07-24,GM02,24.8
2026-07-24,GM03,44.3
2026-07-24,GM04,49.2
2026-07-24,GM05,31.3
2026-07-24,GM06,39.9
2026-07-25,GM01,36.0
2026-07-25,GM02,51.1
2026-07-25,GM03,50.5
2026-07-25,GM04,41.9
2026-07-25,GM05,60.3
2026-07-25,GM06,45.0
2026-07-26,GM01,37.0
2026-07-26,GM02,37.9
2026-07-26,GM03,56.0
2026-07-26,GM04,27.4
2026-07-26,GM05,28.4
2026-07-26,GM06,43.3
2026-07-27,GM01,49.1
2026-07-27,GM02,27.8
2026-07-27,GM03,45.2
2026-07-27,GM04,48.7
2026-07-27,GM05,27.8
2026-07-27,GM06,58.1
2026-07-28,GM01,3.8
2026-07-28,GM02,2.5
2026-07-28,GM03,1.2
2026-07-28,GM04,6.0
2026-07-28,GM05,5.9
2026-07-28,GM06,3.8
2026-07-29,GM01,5.5
2026-07-29,GM02,4.1
2026-07-29,GM03,1.6
2026-07-29,GM04,7.6
2026-07-29,GM05,2.9
2026-07-29,GM06,5.5
2026-07-30,GM01,7.3
2026-07-30,GM02,6.1
2026-07-30,GM03,2.4
2026-07-30,GM04,5.1
2026-07-30,GM05,0.7
2026-07-30,GM06,6.8
2026-07-31,GM01,4.1
2026-07-31,GM02,7.3
2026-07-31,GM03,2.8
2026-07-31,GM04,1.8
2026-07-31,GM05,4.3
2026-07-31,GM06,4.0
2026-08-01,GM01,5.1
2026-08-01,GM02,4.9
2026-08-01,GM03,6.3
2026-08-01,GM04,6.1
2026-08-01,GM05,1.6
2026-08-01,GM06,1.9
2026-08-02,GM01,3.2
2026-08-02,GM02,6.4
2026-08-02,GM03,1.6
2026-08-02,GM04,3.9
2026-08-02,GM05,5.8
2026-08-02,GM06,7.9
2026-08-03,GM01,6.3
2026-08-03,GM02,3.8
2026-08-03,GM03,1.5
2026-08-03,GM04,4.8
2026-08-03,GM05,2.8
2026-08-03,GM06,6.5
2026-08-04,GM01,5.8
2026-08-04,GM02,2.8
2026-08-04,GM03,7.8
2026-08-04,GM04,0.6
2026-08-04,GM05,0.8
2026-08-04,GM06,3.8
2026-08-05,GM01,2.7
2026-08-05,GM02,3.9
2026-08-05,GM03,7.9
2026-08-05,GM04,4.9
2026-08-05,GM05,0.0
2026-08-05,GM06,7.3
2026-08-06,GM01,2.8
2026-08-06,GM02,5.1
2026-08-06,GM03,6.7
2026-08-06,GM04,1.0
2026-08-06,GM05,3.1
2026-08-06,GM06,5.7
2026-08-07,GM01,1.6
2026-08-07,GM02,7.1
2026-08-07,GM03,3.5
2026-08-07,GM04,5.1
2026-08-07,GM05,0.7
2026-08-07,GM06,7.6
